Job Title,Skills,Description
Python Developer,"python,django,flask,sql","Develop scalable backend applications using Python frameworks"
Data Analyst,"python,pandas,excel,powerbi","Analyze business data and create dashboards"
Machine Learning Engineer,"python,ml,tensorflow,deep learning","Build AI models and machine learning systems"
Web Developer,"html,css,javascript,react","Develop modern responsive web applications"
Cloud Engineer,"aws,docker,kubernetes,linux","Manage cloud and DevOps infrastructure"
Cyber Security Analyst,"network security,python,ethical hacking","Protect systems from cyber threats"
AI Research Intern,"python,nlp,deep learning,transformers","Research and develop AI solutions"
Frontend Developer,"react,javascript,css,html","Build user interfaces and web pages"
Backend Engineer,"nodejs,mongodb,api,sql","Develop APIs and backend systems"
Data Scientist,"python,statistics,ml,powerbi","Build predictive analytics models"
Content Writer,"writing,communication,english","Create blogs and website content"
Graphic Designer,"photoshop,illustrator,design","Design social media and branding materials"
Digital Marketing Executive,"seo,social media,marketing","Manage online marketing campaigns"
Video Editor,"premiere pro,editing,creativity","Edit reels and promotional videos"
Customer Support Executive,"communication,customer service","Handle customer queries and support"
Part Time Tutor,"teaching,mathematics,science","Teach students in online or offline mode"
Sales Executive,"sales,communication,marketing","Promote products and achieve sales targets"
HR Intern,"recruitment,communication,hr","Assist in hiring and employee management"
Delivery Partner,"driving,time management","Deliver products to customers"
Receptionist,"communication,computer basics","Manage front office operations"
Accountant,"tally,excel,accounting","Maintain financial records and transactions"
Fashion Designer,"fashion,creativity,styling","Design modern fashion outfits"
Photographer,"camera,editing,creativity","Capture and edit professional photographs"
Fitness Trainer,"fitness,gym,nutrition","Train clients for physical fitness"
Chef Assistant,"cooking,food preparation","Assist chefs in kitchen operations"
Nurse Assistant,"patient care,medical support","Support nurses and patient services"
Event Coordinator,"management,communication,planning","Organize and manage events"
Social Media Manager,"instagram,facebook,marketing","Handle social media platforms"
Freelance Translator,"english,hindi,translation","Translate documents and content"
Online Typing Job,"typing,data entry","Work from home typing projects"
